<<<<<<< HEAD
Age,JobSatisfaction,MonthlyIncome,YearsAtCompany,Single,Attrition,Gender
36,3,7094,7,No,No,Female
34,3,2351,2,No,Yes,Male
30,3,5294,7,No,No,Male
41,1,16595,18,No,No,Female
57,4,14118,1,No,No,Male
31,3,3978,2,No,No,Male
41,2,6430,3,No,No,Female
40,1,8396,7,No,No,Male
34,4,,6,Yes,No,Male
31,4,6582,6,Yes,No,Male
36,4,6653,1,Yes,No,Male
32,2,5878,7,No,No,Female
29,1,2335,2,No,Yes,Male
30,3,2613,10,No,No,Male
36,1,8321,12,No,No,Male
60,1,19566,29,No,No,Female
48,4,17174,22,No,No,Male
28,2,,1,No,No,Male
38,3,2684,2,No,No,Female
30,3,8474,11,Yes,No,Male
21,2,2174,3,Yes,Yes,Female
36,3,3388,1,No,Yes,Male
30,3,2693,1,No,No,Female
41,4,2782,5,No,No,Male
29,1,,9,Yes,Yes,Male
38,3,8740,8,No,No,Female
30,3,2064,5,No,No,Female
29,3,2642,1,Yes,No,Male
36,2,2810,5,No,No,Female
36,4,6201,18,No,No,Female
25,4,3229,3,No,No,Male
46,3,4810,10,No,No,Male
29,1,9980,10,No,No,Male
26,4,5472,8,No,No,Male
40,2,6852,5,No,No,Male
42,1,6545,3,Yes,No,Female
46,3,10527,2,No,No,Male
59,4,13726,5,Yes,No,Female
52,1,,34,No,No,Female
59,3,2267,2,No,No,Female
25,4,3669,3,No,No,Male
42,4,15992,1,Yes,No,Female
54,1,5940,6,No,No,Male
38,4,2288,2,Yes,No,Male
88,3,8823,19,No,No,Female
21,4,3117,2,Yes,No,Female
55,1,16756,9,Yes,No,Male
35,2,4425,6,Yes,No,Male
31,3,,11,No,No,Male
56,4,7260,6,Yes,No,Male
33,3,17444,10,Yes,No,Male
46,1,,26,Yes,No,Male
28,4,2713,5,No,No,Female
45,4,3452,6,Yes,No,Male
89,4,5163,1,No,No,Female
41,1,4721,18,Yes,No,Female
50,3,4728,0,Yes,Yes,Male
43,1,9985,1,No,No,Female
49,3,15379,8,Yes,No,Male
35,1,9582,8,Yes,Yes,Male
40,2,2387,4,No,No,Male
37,1,3564,8,No,No,Female
29,1,2119,7,No,Yes,Female
32,4,2795,1,Yes,Yes,Female
46,4,8578,9,No,No,Female
38,1,6288,4,No,No,Female
45,4,3697,10,No,No,Male
56,4,2587,4,Yes,Yes,Male
47,4,3294,3,Yes,No,Male
24,3,2886,6,No,Yes,Male
58,2,3346,1,No,No,Female
33,2,2622,3,No,No,Male
45,1,,10,Yes,No,Male
27,3,2318,1,Yes,No,Male
39,1,17068,21,No,No,Female
26,4,2659,3,No,No,Female
30,1,4779,3,No,No,Male
34,3,2029,5,No,No,Male
37,1,2073,3,No,Yes,Male
36,3,5347,3,No,No,Male
52,4,3482,9,No,No,Male
29,2,4187,10,No,No,Male
43,3,5257,9,No,No,Male
33,4,2496,1,Yes,No,Female
51,3,19537,20,Yes,No,Male
40,3,2001,5,No,No,Male
38,4,6261,7,No,No,Male
34,3,6142,5,Yes,No,Male
33,1,5324,3,Yes,Yes,Male
54,2,10725,9,No,No,Male
51,2,5482,4,No,No,Male
31,3,1359,1,Yes,Yes,Male
43,4,16959,25,No,No,Female
34,1,5346,7,No,Yes,Male
39,3,3755,8,No,No,Male
32,4,10422,14,No,No,Female
30,1,,8,No,No,Female
34,4,8500,9,No,No,Male
39,1,5151,10,No,No,Male
37,4,4680,1,Yes,No,Male
50,4,14411,32,Yes,No,Male
34,4,8103,4,No,No,Male
51,2,12490,10,No,No,Female
40,2,5677,11,No,No,Female
53,3,12965,3,No,No,Male
28,1,8722,10,Yes,Yes,Female
50,3,19331,1,No,No,Female
36,4,3210,15,No,No,Male
26,4,2061,1,No,No,Male
50,3,19237,8,No,No,Female
31,1,,3,Yes,Yes,Female
44,3,,1,No,Yes,Male
28,3,3660,8,Yes,No,Female
31,4,3722,2,No,Yes,Male
45,1,13245,0,No,No,Female
29,3,2974,5,No,No,Male
32,3,4883,10,No,Yes,Female
95,3,8789,10,Yes,No,Female
35,2,8020,11,No,No,Female
33,3,16184,6,No,No,Male
35,3,4249,9,Yes,No,Male
48,1,15402,3,No,No,Male
31,1,4148,4,No,No,Female
41,4,19141,21,No,No,Male
29,1,4723,10,Yes,No,Male
51,2,13734,7,Yes,No,Female
88,3,4001,15,No,No,Female
41,1,4103,9,No,No,Male
30,4,2862,10,No,No,Male
27,4,2379,5,Yes,No,Female
58,2,19246,31,Yes,Yes,Female
57,4,9439,5,No,No,Female
23,4,2275,3,No,Yes,Female
38,2,,20,No,No,Male
50,4,2380,1,No,No,Female
31,2,3479,5,Yes,Yes,Male
28,3,2909,3,No,Yes,Male
20,3,1009,1,Yes,Yes,Female
36,1,3407,5,Yes,Yes,Male
37,4,,5,No,No,Male
33,3,4508,13,Yes,Yes,Female
46,1,4615,16,No,No,Male
56,3,,10,No,Yes,Female
31,3,4084,7,Yes,Yes,Female
38,1,6893,7,No,No,Male
21,4,2693,1,Yes,Yes,Female
40,1,10475,18,No,No,Male
=======
Age,JobSatisfaction,MonthlyIncome,YearsAtCompany,Single,Attrition,Gender
36,3,7094,7,No,No,Female
34,3,2351,2,No,Yes,Male
30,3,5294,7,No,No,Male
41,1,16595,18,No,No,Female
57,4,14118,1,No,No,Male
31,3,3978,2,No,No,Male
41,2,6430,3,No,No,Female
40,1,8396,7,No,No,Male
34,4,,6,Yes,No,Male
31,4,6582,6,Yes,No,Male
36,4,6653,1,Yes,No,Male
32,2,5878,7,No,No,Female
29,1,2335,2,No,Yes,Male
30,3,2613,10,No,No,Male
36,1,8321,12,No,No,Male
60,1,19566,29,No,No,Female
48,4,17174,22,No,No,Male
28,2,,1,No,No,Male
38,3,2684,2,No,No,Female
30,3,8474,11,Yes,No,Male
21,2,2174,3,Yes,Yes,Female
36,3,3388,1,No,Yes,Male
30,3,2693,1,No,No,Female
41,4,2782,5,No,No,Male
29,1,,9,Yes,Yes,Male
38,3,8740,8,No,No,Female
30,3,2064,5,No,No,Female
29,3,2642,1,Yes,No,Male
36,2,2810,5,No,No,Female
36,4,6201,18,No,No,Female
25,4,3229,3,No,No,Male
46,3,4810,10,No,No,Male
29,1,9980,10,No,No,Male
26,4,5472,8,No,No,Male
40,2,6852,5,No,No,Male
42,1,6545,3,Yes,No,Female
46,3,10527,2,No,No,Male
59,4,13726,5,Yes,No,Female
52,1,,34,No,No,Female
59,3,2267,2,No,No,Female
25,4,3669,3,No,No,Male
42,4,15992,1,Yes,No,Female
54,1,5940,6,No,No,Male
38,4,2288,2,Yes,No,Male
88,3,8823,19,No,No,Female
21,4,3117,2,Yes,No,Female
55,1,16756,9,Yes,No,Male
35,2,4425,6,Yes,No,Male
31,3,,11,No,No,Male
56,4,7260,6,Yes,No,Male
33,3,17444,10,Yes,No,Male
46,1,,26,Yes,No,Male
28,4,2713,5,No,No,Female
45,4,3452,6,Yes,No,Male
89,4,5163,1,No,No,Female
41,1,4721,18,Yes,No,Female
50,3,4728,0,Yes,Yes,Male
43,1,9985,1,No,No,Female
49,3,15379,8,Yes,No,Male
35,1,9582,8,Yes,Yes,Male
40,2,2387,4,No,No,Male
37,1,3564,8,No,No,Female
29,1,2119,7,No,Yes,Female
32,4,2795,1,Yes,Yes,Female
46,4,8578,9,No,No,Female
38,1,6288,4,No,No,Female
45,4,3697,10,No,No,Male
56,4,2587,4,Yes,Yes,Male
47,4,3294,3,Yes,No,Male
24,3,2886,6,No,Yes,Male
58,2,3346,1,No,No,Female
33,2,2622,3,No,No,Male
45,1,,10,Yes,No,Male
27,3,2318,1,Yes,No,Male
39,1,17068,21,No,No,Female
26,4,2659,3,No,No,Female
30,1,4779,3,No,No,Male
34,3,2029,5,No,No,Male
37,1,2073,3,No,Yes,Male
36,3,5347,3,No,No,Male
52,4,3482,9,No,No,Male
29,2,4187,10,No,No,Male
43,3,5257,9,No,No,Male
33,4,2496,1,Yes,No,Female
51,3,19537,20,Yes,No,Male
40,3,2001,5,No,No,Male
38,4,6261,7,No,No,Male
34,3,6142,5,Yes,No,Male
33,1,5324,3,Yes,Yes,Male
54,2,10725,9,No,No,Male
51,2,5482,4,No,No,Male
31,3,1359,1,Yes,Yes,Male
43,4,16959,25,No,No,Female
34,1,5346,7,No,Yes,Male
39,3,3755,8,No,No,Male
32,4,10422,14,No,No,Female
30,1,,8,No,No,Female
34,4,8500,9,No,No,Male
39,1,5151,10,No,No,Male
37,4,4680,1,Yes,No,Male
50,4,14411,32,Yes,No,Male
34,4,8103,4,No,No,Male
51,2,12490,10,No,No,Female
40,2,5677,11,No,No,Female
53,3,12965,3,No,No,Male
28,1,8722,10,Yes,Yes,Female
50,3,19331,1,No,No,Female
36,4,3210,15,No,No,Male
26,4,2061,1,No,No,Male
50,3,19237,8,No,No,Female
31,1,,3,Yes,Yes,Female
44,3,,1,No,Yes,Male
28,3,3660,8,Yes,No,Female
31,4,3722,2,No,Yes,Male
45,1,13245,0,No,No,Female
29,3,2974,5,No,No,Male
32,3,4883,10,No,Yes,Female
95,3,8789,10,Yes,No,Female
35,2,8020,11,No,No,Female
33,3,16184,6,No,No,Male
35,3,4249,9,Yes,No,Male
48,1,15402,3,No,No,Male
31,1,4148,4,No,No,Female
41,4,19141,21,No,No,Male
29,1,4723,10,Yes,No,Male
51,2,13734,7,Yes,No,Female
88,3,4001,15,No,No,Female
41,1,4103,9,No,No,Male
30,4,2862,10,No,No,Male
27,4,2379,5,Yes,No,Female
58,2,19246,31,Yes,Yes,Female
57,4,9439,5,No,No,Female
23,4,2275,3,No,Yes,Female
38,2,,20,No,No,Male
50,4,2380,1,No,No,Female
31,2,3479,5,Yes,Yes,Male
28,3,2909,3,No,Yes,Male
20,3,1009,1,Yes,Yes,Female
36,1,3407,5,Yes,Yes,Male
37,4,,5,No,No,Male
33,3,4508,13,Yes,Yes,Female
46,1,4615,16,No,No,Male
56,3,,10,No,Yes,Female
31,3,4084,7,Yes,Yes,Female
38,1,6893,7,No,No,Male
21,4,2693,1,Yes,Yes,Female
40,1,10475,18,No,No,Male
>>>>>>> refs/remotes/origin/master
