Symbol		Frequency			Huffman Codes
e		12.25577264653641%		011
i		9.946714031971581%		001
t		8.82178804026051%		000
o		7.874481941977502%		1101
n		6.927175843694494%		1011
r		6.571936056838366%		1001
s		6.098283007696862%		1000
a		5.328596802841918%		0100
d		4.144464179988159%		11111
l		4.085257548845471%		11110
h		3.966844286560095%		11100
c		3.8484310242747193%		11001
p		3.137951450562463%		10100
u		2.782711663706335%		01010
f		1.9538188277087036%		111010
g		1.8946121965660152%		110001
v		1.7761989342806392%		110000
m		1.4801657785671996%		010111
w		0.8880994671403196%		1010111
T		0.8880994671403196%		1010110
y		0.7696862048549438%		0101101
b		0.7104795737122558%		0101100
A		0.5920663114268798%		11101111
I		0.5328596802841918%		11101110
1		0.4144464179988159%		10101010
V		0.4144464179988159%		10101001
3		0.2960331557134399%		111011011
x		0.2368265245707519%		111011010
2		0.2368265245707519%		111011001
k		0.17761989342806395%		101010000
5		0.11841326228537595%		1110110001
q		0.11841326228537595%		1110110000
j		0.11841326228537595%		1010101111
W		0.11841326228537595%		1010101110
8		0.059206631142687975%		10101011011
7		0.059206631142687975%		10101011010
U		0.059206631142687975%		10101011001
S		0.059206631142687975%		10101011000
M		0.059206631142687975%		10101000111
F		0.059206631142687975%		10101000110
D		0.059206631142687975%		10101000101
C		0.059206631142687975%		10101000100
Total bits is: 7324
